trialnum,username,chart,actualresponse,userresponse,actualerror,actualerror,logerror(+1/8),logerror
20,user1616020953317,line,40,45,5,5.125,2.357552005,2.357552005
21,user1616020953317,pie,14,12,2,2.125,1.087462841,1.087462841
22,user1616020953317,lineAnim,52,50,2,2.125,1.087462841,1.087462841
23,user1616020953317,pieAnim,48,50,2,2.125,1.087462841,1.087462841
24,user1616020953317,pieAnim,27,25,2,2.125,1.087462841,1.087462841
1,user1616071404126,pieAnim,75,85,10,10.125,3.339850003,3.339850003
2,user1616071404126,pieAnim,61,50,11,11.125,3.475733431,3.475733431
3,user1616071404126,lineAnim,12,15,3,3.125,1.64385619,1.64385619
4,user1616071404126,pie,21,30,9,9.125,3.189824559,3.189824559
5,user1616071404126,line,60,60,0,0.125,-3,0
6,user1616071404126,barAnim,52,60,8,8.125,3.022367813,3.022367813
7,user1616071404126,pieAnim,56,70,14,14.125,3.820178962,3.820178962
8,user1616071404126,barAnim,51,50,1,1.125,0.1699250014,0.1699250014
9,user1616071404126,bar,46,45,1,1.125,0.1699250014,0.1699250014
10,user1616071404126,line,88,85,3,3.125,1.64385619,1.64385619
11,user1616071404126,barAnim,41,40,1,1.125,0.1699250014,0.1699250014
12,user1616071404126,pie,19,25,6,6.125,2.614709844,2.614709844
13,user1616071404126,line,36,38,2,2.125,1.087462841,1.087462841
14,user1616071404126,bar,47,45,2,2.125,1.087462841,1.087462841
15,user1616071404126,pieAnim,33,38,5,5.125,2.357552005,2.357552005
16,user1616071404126,line,62,70,8,8.125,3.022367813,3.022367813
17,user1616071404126,pie,92,100,8,8.125,3.022367813,3.022367813
18,user1616071404126,lineAnim,27,28,1,1.125,0.1699250014,0.1699250014
19,user1616071404126,bar,36,40,4,4.125,2.044394119,2.044394119
20,user1616071404126,pie,67,75,8,8.125,3.022367813,3.022367813
21,user1616071404126,barAnim,22,20,2,2.125,1.087462841,1.087462841
22,user1616071404126,lineAnim,90,90,0,0.125,-3,0
23,user1616071404126,lineAnim,84,85,1,1.125,0.1699250014,0.1699250014
24,user1616071404126,bar,60,65,5,5.125,2.357552005,2.357552005
1,user1616072990681,barAnim,12,9,3,3.125,1.64385619,1.64385619
2,user1616072990681,pieAnim,17,9,8,8.125,3.022367813,3.022367813
3,user1616072990681,line,72,84,12,12.125,3.599912842,3.599912842
4,user1616072990681,pieAnim,58,48,10,10.125,3.339850003,3.339850003
5,user1616072990681,pieAnim,52,42,10,10.125,3.339850003,3.339850003
6,user1616072990681,bar,19,19,0,0.125,-3,0
7,user1616072990681,pie,85,90,5,5.125,2.357552005,2.357552005
8,user1616072990681,lineAnim,52,52,0,0.125,-3,0
9,user1616072990681,lineAnim,68,82,14,14.125,3.820178962,3.820178962
10,user1616072990681,pie,60,44,16,16.125,4.011227255,4.011227255
11,user1616072990681,barAnim,42,35,7,7.125,2.832890014,2.832890014
12,user1616072990681,pie,41,33,8,8.125,3.022367813,3.022367813
13,user1616072990681,lineAnim,22,20,2,2.125,1.087462841,1.087462841
14,user1616072990681,bar,98,98,0,0.125,-3,0
15,user1616072990681,barAnim,62,60,2,2.125,1.087462841,1.087462841
16,user1616072990681,line,25,20,5,5.125,2.357552005,2.357552005
17,user1616072990681,pieAnim,29,19,10,10.125,3.339850003,3.339850003
18,user1616072990681,bar,53,60,7,7.125,2.832890014,2.832890014
19,user1616072990681,pie,78,85,7,7.125,2.832890014,2.832890014
20,user1616072990681,line,70,80,10,10.125,3.339850003,3.339850003
21,user1616072990681,lineAnim,70,90,20,20.125,4.330916878,4.330916878
22,user1616072990681,barAnim,90,95,5,5.125,2.357552005,2.357552005
23,user1616072990681,bar,59,54,5,5.125,2.357552005,2.357552005
24,user1616072990681,line,60,60,0,0.125,-3,0
1,user1616074209786,bar,56,50,6,6.125,2.614709844,2.614709844
2,user1616074209786,bar,54,50,4,4.125,2.044394119,2.044394119
3,user1616074209786,pie,55,45,10,10.125,3.339850003,3.339850003
4,user1616074209786,bar,9,10,1,1.125,0.1699250014,0.1699250014
5,user1616074209786,line,40,40,0,0.125,-3,0
6,user1616074209786,pie,32,20,12,12.125,3.599912842,3.599912842
7,user1616074209786,pieAnim,89,90,1,1.125,0.1699250014,0.1699250014
8,user1616074209786,line,11,10,1,1.125,0.1699250014,0.1699250014
9,user1616074209786,bar,76,85,9,9.125,3.189824559,3.189824559
10,user1616074209786,barAnim,26,20,6,6.125,2.614709844,2.614709844
11,user1616074209786,pieAnim,37,20,17,17.125,4.098032083,4.098032083
12,user1616074209786,lineAnim,20,20,0,0.125,-3,0
13,user1616074209786,line,27,20,7,7.125,2.832890014,2.832890014
14,user1616074209786,pieAnim,83,90,7,7.125,2.832890014,2.832890014
15,user1616074209786,lineAnim,98,98,0,0.125,-3,0
16,user1616074209786,pieAnim,29,20,9,9.125,3.189824559,3.189824559
17,user1616074209786,lineAnim,83,90,7,7.125,2.832890014,2.832890014
18,user1616074209786,line,77,88,11,11.125,3.475733431,3.475733431
19,user1616074209786,barAnim,67,68,1,1.125,0.1699250014,0.1699250014
20,user1616074209786,barAnim,38,35,3,3.125,1.64385619,1.64385619
21,user1616074209786,lineAnim,68,68,0,0.125,-3,0
22,user1616074209786,pie,44,40,4,4.125,2.044394119,2.044394119
23,user1616074209786,barAnim,87,95,8,8.125,3.022367813,3.022367813
24,user1616074209786,pie,32,20,12,12.125,3.599912842,3.599912842
1,user1616076694613,pie,62,75,13,13.125,3.714245518,3.714245518
2,user1616076694613,pie,37,30,7,7.125,2.832890014,2.832890014
3,user1616076694613,line,75,30,45,45.125,5.495855027,5.495855027
4,user1616076694613,barAnim,37,40,3,3.125,1.64385619,1.64385619
5,user1616076694613,line,75,75,0,0.125,-3,0
6,user1616076694613,line,40,30,10,10.125,3.339850003,3.339850003
7,user1616076694613,pie,36,25,11,11.125,3.475733431,3.475733431
8,user1616076694613,pieAnim,26,10,16,16.125,4.011227255,4.011227255
9,user1616076694613,lineAnim,19,10,9,9.125,3.189824559,3.189824559
10,user1616076694613,lineAnim,29,30,1,1.125,0.1699250014,0.1699250014
11,user1616076694613,lineAnim,5,5,0,0.125,-3,0
12,user1616076694613,barAnim,22,15,7,7.125,2.832890014,2.832890014
13,user1616076694613,bar,18,20,2,2.125,1.087462841,1.087462841
14,user1616076694613,bar,76,75,1,1.125,0.1699250014,0.1699250014
15,user1616076694613,bar,57,60,3,3.125,1.64385619,1.64385619
16,user1616076694613,pieAnim,92,25,67,67.125,6.068778278,6.068778278
17,user1616076694613,line,42,45,3,3.125,1.64385619,1.64385619
18,user1616076694613,pieAnim,82,20,62,62.125,5.957102042,5.957102042
19,user1616076694613,bar,21,25,4,4.125,2.044394119,2.044394119
20,user1616076694613,barAnim,47,50,3,3.125,1.64385619,1.64385619
21,user1616076694613,lineAnim,50,50,0,0.125,-3,0
22,user1616076694613,barAnim,85,80,5,5.125,2.357552005,2.357552005
23,user1616076694613,pie,75,25,50,50.125,5.647458426,5.647458426
24,user1616076694613,pieAnim,95,30,65,65.125,6.025139562,6.025139562
1,user1616080404053,lineAnim,81,15,66,66.125,6.047123912,6.047123912
2,user1616080404053,line,64,25,39,39.125,5.290018847,5.290018847
3,user1616080404053,line,76,15,61,61.125,5.933690655,5.933690655
4,user1616080404053,pie,77,15,62,62.125,5.957102042,5.957102042
5,user1616080404053,lineAnim,93,4,89,89.125,6.477758266,6.477758266
6,user1616080404053,line,24,45,21,21.125,4.400879436,4.400879436
7,user1616080404053,bar,22,66,44,44.125,5.463524373,5.463524373
8,user1616080404053,pie,54,40,14,14.125,3.820178962,3.820178962
9,user1616080404053,barAnim,18,80,62,62.125,5.957102042,5.957102042
10,user1616080404053,bar,55,25,30,30.125,4.912889336,4.912889336
11,user1616080404053,pieAnim,26,50,24,24.125,4.592457037,4.592457037
12,user1616080404053,lineAnim,85,5,80,80.125,6.324180547,6.324180547
13,user1616080404053,pieAnim,24,60,36,36.125,5.174925683,5.174925683
14,user1616080404053,barAnim,22,60,38,38.125,5.252665432,5.252665432
15,user1616080404053,barAnim,18,100,82,82.125,6.35974956,6.35974956
16,user1616080404053,lineAnim,48,50,2,2.125,1.087462841,1.087462841
17,user1616080404053,barAnim,96,3,93,93.125,6.541096615,6.541096615
18,user1616080404053,pieAnim,83,5,78,78.125,6.28771238,6.28771238
19,user1616080404053,line,85,15,70,70.125,6.131856961,6.131856961
20,user1616080404053,bar,67,30,37,37.125,5.214319121,5.214319121
21,user1616080404053,pie,78,15,63,63.125,5.980139578,5.980139578
22,user1616080404053,bar,14,70,56,56.125,5.810571635,5.810571635
23,user1616080404053,pie,80,5,75,75.125,6.231221181,6.231221181
24,user1616080404053,pieAnim,41,50,9,9.125,3.189824559,3.189824559
1,user1616085312200,bar,46,50,4,4.125,2.044394119,2.044394119
2,user1616085312200,lineAnim,20,12,8,8.125,3.022367813,3.022367813
3,user1616085312200,line,75,70,5,5.125,2.357552005,2.357552005
4,user1616085312200,lineAnim,41,40,1,1.125,0.1699250014,0.1699250014
5,user1616085312200,pie,19,20,1,1.125,0.1699250014,0.1699250014
6,user1616085312200,pieAnim,69,70,1,1.125,0.1699250014,0.1699250014
7,user1616085312200,bar,40,40,0,0.125,-3,0
8,user1616085312200,line,60,70,10,10.125,3.339850003,3.339850003
9,user1616085312200,pieAnim,43,40,3,3.125,1.64385619,1.64385619
10,user1616085312200,pie,59,70,11,11.125,3.475733431,3.475733431
11,user1616085312200,pie,5,10,5,5.125,2.357552005,2.357552005
12,user1616085312200,lineAnim,24,25,1,1.125,0.1699250014,0.1699250014
13,user1616085312200,line,91,98,7,7.125,2.832890014,2.832890014
14,user1616085312200,barAnim,62,60,2,2.125,1.087462841,1.087462841
15,user1616085312200,pieAnim,13,15,2,2.125,1.087462841,1.087462841
16,user1616085312200,barAnim,70,70,0,0.125,-3,0
17,user1616085312200,barAnim,78,80,2,2.125,1.087462841,1.087462841
18,user1616085312200,barAnim,90,90,0,0.125,-3,0
19,user1616085312200,pie,100,100,0,0.125,-3,0
20,user1616085312200,lineAnim,93,98,5,5.125,2.357552005,2.357552005
21,user1616085312200,pieAnim,57,50,7,7.125,2.832890014,2.832890014
22,user1616085312200,bar,93,99,6,6.125,2.614709844,2.614709844
23,user1616085312200,bar,30,30,0,0.125,-3,0
24,user1616085312200,line,35,40,5,5.125,2.357552005,2.357552005
1,user1616086256978,barAnim,61,67,6,6.125,2.614709844,2.614709844
2,user1616086256978,line,78,80,2,2.125,1.087462841,1.087462841
3,user1616086256978,line,25,25,0,0.125,-3,0
4,user1616086256978,pieAnim,52,50,2,2.125,1.087462841,1.087462841
5,user1616086256978,pie,66,85,19,19.125,4.257387843,4.257387843
6,user1616086256978,bar,56,60,4,4.125,2.044394119,2.044394119
7,user1616086256978,pie,95,100,5,5.125,2.357552005,2.357552005
8,user1616086256978,lineAnim,56,65,9,9.125,3.189824559,3.189824559
9,user1616086256978,bar,24,25,1,1.125,0.1699250014,0.1699250014
10,user1616086256978,pie,75,75,0,0.125,-3,0
11,user1616086256978,pieAnim,33,30,3,3.125,1.64385619,1.64385619
12,user1616086256978,pieAnim,32,25,7,7.125,2.832890014,2.832890014
13,user1616086256978,bar,48,50,2,2.125,1.087462841,1.087462841
14,user1616086256978,bar,88,90,2,2.125,1.087462841,1.087462841
15,user1616086256978,barAnim,16,20,4,4.125,2.044394119,2.044394119
16,user1616086256978,line,36,33,3,3.125,1.64385619,1.64385619
17,user1616086256978,pie,80,80,0,0.125,-3,0
18,user1616086256978,lineAnim,39,40,1,1.125,0.1699250014,0.1699250014
19,user1616086256978,pieAnim,100,100,0,0.125,-3,0
20,user1616086256978,lineAnim,82,81,1,1.125,0.1699250014,0.1699250014
21,user1616086256978,barAnim,43,40,3,3.125,1.64385619,1.64385619
22,user1616086256978,lineAnim,81,82,1,1.125,0.1699250014,0.1699250014
23,user1616086256978,line,85,82,3,3.125,1.64385619,1.64385619
24,user1616086256978,barAnim,22,22,0,0.125,-3,0
1,user1616090223946,line,76,25,51,51.125,5.675957033,5.675957033
2,user1616090223946,line,18,6,12,12.125,3.599912842,3.599912842
3,user1616090223946,pie,15,20,5,5.125,2.357552005,2.357552005
4,user1616090223946,barAnim,13,10,3,3.125,1.64385619,1.64385619
5,user1616090223946,pieAnim,66,80,14,14.125,3.820178962,3.820178962
6,user1616090223946,pieAnim,91,90,1,1.125,0.1699250014,0.1699250014
7,user1616090223946,bar,63,66,3,3.125,1.64385619,1.64385619
8,user1616090223946,pieAnim,8,12,4,4.125,2.044394119,2.044394119
9,user1616090223946,lineAnim,20,20,0,0.125,-3,0
10,user1616090223946,lineAnim,30,33,3,3.125,1.64385619,1.64385619
11,user1616090223946,bar,67,60,7,7.125,2.832890014,2.832890014
12,user1616090223946,barAnim,75,75,0,0.125,-3,0
13,user1616090223946,bar,82,80,2,2.125,1.087462841,1.087462841
14,user1616090223946,barAnim,58,66,8,8.125,3.022367813,3.022367813
15,user1616090223946,bar,80,85,5,5.125,2.357552005,2.357552005
16,user1616090223946,pie,24,20,4,4.125,2.044394119,2.044394119
17,user1616090223946,barAnim,48,50,2,2.125,1.087462841,1.087462841
18,user1616090223946,pie,85,80,5,5.125,2.357552005,2.357552005
19,user1616090223946,pie,19,20,1,1.125,0.1699250014,0.1699250014
20,user1616090223946,line,48,40,8,8.125,3.022367813,3.022367813
21,user1616090223946,line,65,80,15,15.125,3.918863237,3.918863237
22,user1616090223946,lineAnim,66,60,6,6.125,2.614709844,2.614709844
23,user1616090223946,lineAnim,37,33,4,4.125,2.044394119,2.044394119
24,user1616090223946,pieAnim,24,17,7,7.125,2.832890014,2.832890014
1,user1616090648175,barAnim,64,65,1,1.125,0.1699250014,0.1699250014
2,user1616090648175,bar,51,50,1,1.125,0.1699250014,0.1699250014
3,user1616090648175,pie,50,50,0,0.125,-3,0
4,user1616090648175,bar,96,97,1,1.125,0.1699250014,0.1699250014
5,user1616090648175,barAnim,30,25,5,5.125,2.357552005,2.357552005
6,user1616090648175,bar,79,80,1,1.125,0.1699250014,0.1699250014
7,user1616090648175,line,62,70,8,8.125,3.022367813,3.022367813
8,user1616090648175,pieAnim,80,90,10,10.125,3.339850003,3.339850003
9,user1616090648175,bar,12,8,4,4.125,2.044394119,2.044394119
10,user1616090648175,barAnim,38,35,3,3.125,1.64385619,1.64385619
11,user1616090648175,lineAnim,82,90,8,8.125,3.022367813,3.022367813
12,user1616090648175,lineAnim,90,85,5,5.125,2.357552005,2.357552005
13,user1616090648175,barAnim,76,90,14,14.125,3.820178962,3.820178962
14,user1616090648175,pie,69,65,4,4.125,2.044394119,2.044394119
15,user1616090648175,pieAnim,33,25,8,8.125,3.022367813,3.022367813
16,user1616090648175,line,31,15,16,16.125,4.011227255,4.011227255
17,user1616090648175,pieAnim,63,45,18,18.125,4.17990909,4.17990909
18,user1616090648175,line,51,35,16,16.125,4.011227255,4.011227255
19,user1616090648175,lineAnim,56,55,1,1.125,0.1699250014,0.1699250014
20,user1616090648175,pie,39,30,9,9.125,3.189824559,3.189824559
21,user1616090648175,pieAnim,65,60,5,5.125,2.357552005,2.357552005
22,user1616090648175,lineAnim,62,60,2,2.125,1.087462841,1.087462841
23,user1616090648175,line,75,93,18,18.125,4.17990909,4.17990909
24,user1616090648175,pie,79,80,1,1.125,0.1699250014,0.1699250014
1,user1616091192811,bar,88,92,4,4.125,2.044394119,2.044394119
2,user1616091192811,pieAnim,30,25,5,5.125,2.357552005,2.357552005
3,user1616091192811,pie,92,96,4,4.125,2.044394119,2.044394119
4,user1616091192811,pie,45,45,0,0.125,-3,0
5,user1616091192811,line,52,35,17,17.125,4.098032083,4.098032083
6,user1616091192811,line,16,7,9,9.125,3.189824559,3.189824559
7,user1616091192811,pie,51,50,1,1.125,0.1699250014,0.1699250014
8,user1616091192811,lineAnim,90,1,89,89.125,6.477758266,6.477758266
9,user1616091192811,lineAnim,59,40,19,19.125,4.257387843,4.257387843
10,user1616091192811,line,61,35,26,26.125,4.707359132,4.707359132
11,user1616091192811,lineAnim,87,54,33,33.125,5.049848549,5.049848549
12,user1616091192811,barAnim,70,40,30,30.125,4.912889336,4.912889336
13,user1616091192811,pie,76,45,31,31.125,4.960001932,4.960001932
14,user1616091192811,lineAnim,15,10,5,5.125,2.357552005,2.357552005
15,user1616091192811,line,30,20,10,10.125,3.339850003,3.339850003
16,user1616091192811,bar,47,12,35,35.125,5.13442632,5.13442632
17,user1616091192811,pieAnim,97,1,96,96.125,6.586839788,6.586839788
18,user1616091192811,barAnim,40,20,20,20.125,4.330916878,4.330916878
19,user1616091192811,barAnim,27,14,13,13.125,3.714245518,3.714245518
20,user1616091192811,pieAnim,81,1,80,80.125,6.324180547,6.324180547
21,user1616091192811,bar,72,17,55,55.125,5.784634846,5.784634846
22,user1616091192811,barAnim,65,20,45,45.125,5.495855027,5.495855027
23,user1616091192811,pieAnim,71,97,26,26.125,4.707359132,4.707359132
24,user1616091192811,bar,20,21,1,1.125,0.1699250014,0.1699250014
1,user1616096193330,pieAnim,8,10,2,2.125,1.087462841,1.087462841
2,user1616096193330,lineAnim,37,45,8,8.125,3.022367813,3.022367813
3,user1616096193330,line,54,50,4,4.125,2.044394119,2.044394119
4,user1616096193330,bar,38,45,7,7.125,2.832890014,2.832890014
5,user1616096193330,pieAnim,80,90,10,10.125,3.339850003,3.339850003
6,user1616096193330,barAnim,83,85,2,2.125,1.087462841,1.087462841
7,user1616096193330,barAnim,35,40,5,5.125,2.357552005,2.357552005
8,user1616096193330,line,18,10,8,8.125,3.022367813,3.022367813
9,user1616096193330,pie,52,50,2,2.125,1.087462841,1.087462841
10,user1616096193330,pie,55,40,15,15.125,3.918863237,3.918863237
11,user1616096193330,pie,9,10,1,1.125,0.1699250014,0.1699250014
12,user1616096193330,pie,92,95,3,3.125,1.64385619,1.64385619
13,user1616096193330,barAnim,10,10,0,0.125,-3,0
14,user1616096193330,line,90,10,80,80.125,6.324180547,6.324180547
15,user1616096193330,lineAnim,95,90,5,5.125,2.357552005,2.357552005
16,user1616096193330,pieAnim,90,95,5,5.125,2.357552005,2.357552005
17,user1616096193330,lineAnim,40,60,20,20.125,4.330916878,4.330916878
18,user1616096193330,pieAnim,59,50,9,9.125,3.189824559,3.189824559
19,user1616096193330,lineAnim,32,30,2,2.125,1.087462841,1.087462841
20,user1616096193330,line,87,80,7,7.125,2.832890014,2.832890014
21,user1616096193330,bar,90,90,0,0.125,-3,0
22,user1616096193330,barAnim,39,40,1,1.125,0.1699250014,0.1699250014
23,user1616096193330,bar,83,80,3,3.125,1.64385619,1.64385619
24,user1616096193330,bar,82,85,3,3.125,1.64385619,1.64385619
1,user1616097035301,pieAnim,63,50,13,13.125,3.714245518,3.714245518
2,user1616097035301,bar,75,75,0,0.125,-3,0
3,user1616097035301,line,34,40,6,6.125,2.614709844,2.614709844
4,user1616097035301,barAnim,41,45,4,4.125,2.044394119,2.044394119
5,user1616097035301,line,40,30,10,10.125,3.339850003,3.339850003
6,user1616097035301,pieAnim,56,50,6,6.125,2.614709844,2.614709844
7,user1616097035301,bar,39,35,4,4.125,2.044394119,2.044394119
8,user1616097035301,lineAnim,94,97,3,3.125,1.64385619,1.64385619
9,user1616097035301,barAnim,88,90,2,2.125,1.087462841,1.087462841
10,user1616097035301,bar,33,38,5,5.125,2.357552005,2.357552005
11,user1616097035301,line,92,90,2,2.125,1.087462841,1.087462841
12,user1616097035301,barAnim,96,97,1,1.125,0.1699250014,0.1699250014
13,user1616097035301,line,20,25,5,5.125,2.357552005,2.357552005
14,user1616097035301,lineAnim,84,85,1,1.125,0.1699250014,0.1699250014
