username,chart,actualresponse,userresponse
user1616169581711,lineAnim,27,25
user1616169581711,bar,46,40
user1616169581711,pieAnim,53,30
user1616169581711,barAnim,65,70
user1616169581711,pie,60,55
user1616169581711,barAnim,88,90
user1616169581711,pie,39,30
user1616169581711,pie,55,50
user1616169581711,barAnim,97,99
user1616169581711,barAnim,68,70
user1616169803384,bar,23,25
user1616169803384,lineAnim,33,50
user1616169803384,lineAnim,14,12
user1616169803384,pie,88,0
user1616169803384,barAnim,53,55
user1616169803384,lineAnim,45,30
user1616169803384,barAnim,41,30
user1616169803384,bar,52,50
user1616169803384,pieAnim,9,12
user1616169803384,pie,82,88
user1616169803384,line,86,95
user1616169803384,bar,40,35
user1616169803384,bar,37,15
user1616169803384,pieAnim,30,25
user1616169803384,barAnim,74,80
user1616169803384,pieAnim,84,90
user1616169803384,line,53,60
user1616169803384,lineAnim,75,70
user1616169803384,line,30,25
user1616169803384,barAnim,88,90
user1616169803384,pieAnim,79,88
user1616169803384,pie,76,75
user1616169803384,pie,19,12
user1616169803384,line,92,95
user1616171055505,bar,96,95
user1616171055505,pie,45,33
user1616171055505,line,60,60
user1616171055505,lineAnim,6,10
user1616171055505,bar,11,15
user1616171055505,lineAnim,66,65
user1616171055505,bar,30,35
user1616171055505,barAnim,16,15
user1616171055505,barAnim,78,80
user1616171055505,barAnim,73,75
user1616171055505,pie,44,33
user1616171055505,pie,88,100
user1616171055505,pieAnim,62,66
user1616171055505,pie,78,75
user1616171055505,lineAnim,66,65
user1616171055505,pieAnim,27,20
user1616171055505,pieAnim,92,100
user1616171055505,barAnim,62,60
user1616171055505,pieAnim,74,80
user1616171055505,bar,48,50
user1616171055505,line,68,70
user1616171055505,line,75,80
user1616171055505,lineAnim,36,40
user1616171055505,line,71,75
user1616171484029,bar,88,90
user1616171484029,lineAnim,96,95
user1616171484029,pie,17,16
user1616171484029,pie,60,55
user1616171484029,pieAnim,23,25
user1616171484029,pieAnim,57,60
user1616171484029,barAnim,5,5
user1616171484029,pieAnim,26,25
user1616171484029,pie,78,80
user1616171484029,lineAnim,16,15
user1616171484029,barAnim,62,65
user1616171484029,pie,76,80
user1616171484029,bar,81,85
user1616171484029,lineAnim,14,15
user1616171484029,line,27,28
user1616171484029,lineAnim,88,85
user1616171484029,barAnim,32,32
user1616171484029,bar,87,90
user1616171484029,line,16,13
user1616171484029,line,44,40
user1616171484029,pieAnim,7,5
user1616171484029,bar,9,10
user1616171484029,barAnim,70,65
user1616171484029,line,85,90
user1616171638795,lineAnim,9,10
user1616171638795,pie,37,40
user1616171638795,line,53,70
user1616171638795,lineAnim,42,45
user1616171638795,lineAnim,48,50
user1616171638795,barAnim,84,90
user1616171638795,pie,40,30
user1616171638795,bar,68,75
user1616171638795,bar,49,50
user1616171638795,line,10,8
user1616171638795,line,40,50
user1616171638795,barAnim,30,35
user1616171638795,barAnim,8,10
user1616171638795,line,12,10
user1616171638795,pieAnim,55,65
user1616171638795,pieAnim,42,30
user1616171638795,pieAnim,5,5
user1616171638795,bar,54,60
user1616171638795,barAnim,66,70
user1616171638795,bar,31,30
user1616171638795,pie,26,10
user1616171638795,pie,25,20
user1616171638795,lineAnim,56,65
user1616171638795,pieAnim,15,10
user1616173020218,pieAnim,93,95
user1616173020218,pie,38,33
user1616173020218,bar,21,18
user1616173020218,barAnim,26,27
user1616173020218,lineAnim,56,55
user1616173020218,barAnim,28,28
user1616173020218,pieAnim,33,40
user1616173020218,pie,44,45
user1616173020218,bar,19,20
user1616173020218,line,38,43
user1616173020218,bar,86,87
user1616173020218,pie,76,95
user1616173020218,lineAnim,97,96
user1616173020218,barAnim,86,88
user1616173020218,pieAnim,66,72
user1616173020218,bar,54,56
user1616173020218,line,28,27
user1616173020218,pie,96,97
user1616173020218,lineAnim,47,48
user1616173020218,barAnim,91,92
user1616173020218,line,74,76
user1616173020218,lineAnim,72,70
user1616173020218,pieAnim,53,50
user1616173020218,line,76,78
user1616173095007,pie,43,40
user1616173095007,line,58,60
user1616173095007,bar,68,75
user1616173095007,pie,95,90
user1616173095007,pieAnim,47,30
user1616173095007,line,69,66
user1616173095007,line,20,16
user1616173095007,barAnim,45,50
user1616173095007,lineAnim,95,99
user1616173095007,pieAnim,31,33
user1616173095007,pieAnim,40,30
user1616173095007,bar,70,75
user1616173095007,lineAnim,28,30
user1616173095007,barAnim,76,80
user1616173095007,bar,13,15
user1616173095007,lineAnim,90,95
user1616173095007,pie,18,15
user1616173095007,pie,93,90
user1616173095007,pieAnim,92,100
user1616173095007,barAnim,47,50
user1616173095007,line,5,5
user1616173095007,lineAnim,78,85
user1616173095007,bar,72,75
user1616173095007,barAnim,38,30
user1616174032126,line,77,60
user1616174032126,line,53,60
user1616174032126,pie,45,25
user1616174032126,lineAnim,97,45
user1616174032126,line,54,30
user1616174032126,pie,83,15
user1616174032126,pieAnim,70,10
user1616174032126,barAnim,66,20
user1616174032126,bar,18,50
user1616174032126,pie,10,20
user1616174032126,barAnim,92,80
user1616174032126,pieAnim,8,15
user1616174032126,pieAnim,82,10
user1616174032126,pieAnim,40,5
user1616174032126,lineAnim,16,5
user1616174032126,line,44,10
user1616174032126,bar,93,90
user1616174032126,bar,22,10
user1616174032126,lineAnim,53,50
user1616174032126,bar,60,45
user1616174032126,lineAnim,68,60
user1616174032126,barAnim,5,5
user1616174032126,barAnim,44,5
user1616174032126,pie,47,3
user1616175660638,bar,43,45
user1616175660638,barAnim,37,33
user1616175660638,pie,96,95
user1616175660638,pieAnim,89,95
user1616175660638,bar,85,90
user1616175660638,barAnim,37,33
user1616175660638,lineAnim,96,97
user1616175660638,pie,61,50
user1616175660638,lineAnim,37,30
user1616175660638,pieAnim,34,25
user1616175660638,line,37,33
user1616175660638,line,55,50
user1616175660638,pieAnim,88,85
user1616175660638,bar,7,5
user1616175660638,pie,48,33
user1616175660638,line,90,95
user1616175660638,pie,97,100
user1616175660638,lineAnim,78,80
user1616175660638,line,75,80
user1616175660638,lineAnim,36,33
user1616175660638,pieAnim,15,15
user1616175660638,barAnim,22,25
user1616175660638,barAnim,5,5
user1616175660638,bar,9,5
user1616179906757,pieAnim,52,60
user1616179906757,pieAnim,98,95
user1616179906757,barAnim,85,80
user1616179906757,line,55,60
user1616179906757,pie,48,40
user1616179906757,pie,48,30
user1616179906757,bar,58,40
user1616179906757,barAnim,56,55
user1616179906757,bar,72,75
user1616179906757,barAnim,35,30
user1616179906757,line,34,30
user1616179906757,lineAnim,21,20
user1616179906757,barAnim,62,60
user1616179906757,bar,61,60
user1616179906757,bar,27,30
user1616179906757,pieAnim,94,90
user1616179906757,line,81,80
user1616179906757,lineAnim,8,20
user1616179906757,lineAnim,37,40
user1616179906757,lineAnim,53,50
user1616179906757,pie,79,90
user1616179906757,pie,36,40
user1616179906757,pieAnim,12,15
user1616179906757,line,66,85
user1616185358848,pieAnim,86,90
user1616185358848,line,86,95
user1616185358848,barAnim,96,98
user1616185358848,pie,35,38
user1616185358848,barAnim,78,82
user1616185358848,pie,64,65
user1616185358848,line,22,50
user1616185358848,bar,75,90
user1616185358848,bar,19,20
user1616185358848,line,13,27
user1616185358848,lineAnim,36,45
user1616185358848,line,40,68
user1616185358848,pie,19,20
user1616185358848,bar,82,82
user1616185358848,lineAnim,74,72
user1616185358848,barAnim,54,58
user1616185358848,pie,90,100
user1616185358848,lineAnim,79,80
user1616185358848,pieAnim,21,17
user1616185358848,barAnim,56,65
user1616185358848,pieAnim,10,8
user1616185358848,pieAnim,82,78
user1616185358848,bar,15,23
user1616185358848,lineAnim,21,25

