,x,y,min,max
0,0,-1.3521680097876527,-2.9138433562502852,-0.05214691572734261
1,1,-1.244441892274866,-2.658963082164933,-0.08154081763838567
2,2,-1.4605542590298484,-2.874442872904066,-0.3003860368610928
