chart,error,observations,avg_error,avg_log_error,sd,se
barAnim,1176.0,136,8.647058823529411,1.922439086344118,1.608478809370655,0.13792592001938725
bar,952.0,136,7.0,1.9565288793485294,1.4624836069665683,0.12540693469443973
lineAnim,1262.0,136,9.279411764705882,2.0263660973176467,1.701943020030121,0.14594040996416716
line,1403.0,136,10.316176470588236,2.5198822355220587,1.5635994501434618,0.13407754671460423
pie,1567.75,136,11.527573529411764,2.6505748452441176,1.5740892065390275,0.13497703590476878
pieAnim,1781.5,136,13.099264705882353,2.8934336212823526,1.5109829036687576,0.12956571507685583
