_id,reportedPercent,truePercent,visType
60535209c4e37914bcf869ca,50,0.5623413251903491,Type10
60535212c4e37914bcf869cb,45,0.4641588833612778,Type10
60535217c4e37914bcf869cc,60,0.6812920690579612,Type9
6053521dc4e37914bcf869cd,40,0.46415888336127786,Type8
60535225c4e37914bcf869ce,65,0.8254041852680186,Type8
6053522ac4e37914bcf869cf,25,0.3162277660168379,Type8
6053522ec4e37914bcf869d0,48,0.6812920690579612,Type9
60535233c4e37914bcf869d1,55,0.5623413251903491,Type9
60535238c4e37914bcf869d2,70,0.8254041852680184,Type10
6053523fc4e37914bcf869d3,88,0.8254041852680183,Type9
60535244c4e37914bcf869d4,80,0.8254041852680184,Type9
6053524ac4e37914bcf869d5,40,0.46415888336127786,Type9
60535250c4e37914bcf869d6,34,0.38311868495572876,Type10
60535255c4e37914bcf869d7,26,0.26101572156825364,Type9
6053525ac4e37914bcf869d8,49,0.5623413251903492,Type8
6053525fc4e37914bcf869d9,60,0.6812920690579612,Type10
60535263c4e37914bcf869da,20,0.2154434690031884,Type9
60535268c4e37914bcf869db,55,0.562341325190349,Type8
60535271c4e37914bcf869dc,20,0.2610157215682537,Type10
60535277c4e37914bcf869dd,40,0.3831186849557287,Type8
6053527bc4e37914bcf869de,33,0.3162277660168379,Type8
60535282c4e37914bcf869df,85,0.8254041852680186,Type10
60535287c4e37914bcf869e0,48,0.464158883361278,Type9
60535293c4e37914bcf869e1,80,0.8254041852680184,Type8
60535298c4e37914bcf869e2,35,0.3162277660168379,Type9
6053529cc4e37914bcf869e3,20,0.2154434690031884,Type10
605352a1c4e37914bcf869e4,80,0.8254041852680183,Type10
605352a8c4e37914bcf869e5,40,0.38311868495572876,Type9
605352adc4e37914bcf869e6,67,0.5623413251903491,Type8
605352b3c4e37914bcf869e7,44,0.46415888336127786,Type8
605352b8c4e37914bcf869e8,50,0.46415888336127786,Type8
605352bcc4e37914bcf869e9,40,0.3831186849557287,Type8
605352c4c4e37914bcf869ea,23,0.21544346900318834,Type9
605352c9c4e37914bcf869eb,48,0.3831186849557288,Type10
605352cdc4e37914bcf869ec,84,0.6812920690579612,Type10
605352d1c4e37914bcf869ed,90,0.8254041852680185,Type10
605352d8c4e37914bcf869ee,20,0.21544346900318834,Type10
605352ddc4e37914bcf869ef,20,0.17782794100389226,Type8
605352e2c4e37914bcf869f0,60,0.5623413251903491,Type10
605352e6c4e37914bcf869f1,90,0.8254041852680183,Type10
605352ebc4e37914bcf869f2,65,0.5623413251903491,Type9
605352f3c4e37914bcf869f3,65,0.464158883361278,Type8
605352f8c4e37914bcf869f4,84,0.5623413251903491,Type8
605352fec4e37914bcf869f5,65,0.5623413251903492,Type9
60535302c4e37914bcf869f6,55,0.46415888336127786,Type9
60535305c4e37914bcf869f7,50,0.46415888336127786,Type10
60535309c4e37914bcf869f8,33,0.38311868495572876,Type10
6053530dc4e37914bcf869f9,20,0.17782794100389226,Type9
60535311c4e37914bcf869fa,50,0.464158883361278,Type8
60535318c4e37914bcf869fb,60,0.5623413251903491,Type8
6053531dc4e37914bcf869fc,58,0.5623413251903491,Type9
60535321c4e37914bcf869fd,80,0.6812920690579612,Type8
60535325c4e37914bcf869fe,25,0.26101572156825364,Type10
6053532ac4e37914bcf869ff,36,0.3162277660168379,Type10
60535331c4e37914bcf86a00,75,0.6812920690579612,Type9
6053533ec4e37914bcf86a01,60,0.5623413251903491,Type8
60535344c4e37914bcf86a02,50,0.5623413251903491,Type9
6053534ac4e37914bcf86a03,64,0.5623413251903491,Type10
6053534ec4e37914bcf86a04,36,0.3162277660168379,Type8
60535353c4e37914bcf86a05,60,0.5623413251903491,Type9
6053594ac4e37914bcf86a51,50,0.5623413251903491,Type9
60535950c4e37914bcf86a52,40,0.562341325190349,Type10
60535955c4e37914bcf86a53,60,0.6812920690579612,Type10
6053595ac4e37914bcf86a54,40,0.46415888336127786,Type8
60535964c4e37914bcf86a55,35,0.46415888336127786,Type9
60535968c4e37914bcf86a56,50,0.5623413251903491,Type10
6053596fc4e37914bcf86a57,50,0.5623413251903492,Type9
60535976c4e37914bcf86a58,38,0.5623413251903491,Type9
6053597cc4e37914bcf86a59,25,0.3831186849557288,Type10
60535981c4e37914bcf86a5a,80,0.6812920690579612,Type8
60535985c4e37914bcf86a5b,17,0.3162277660168379,Type10
60535989c4e37914bcf86a5c,12,0.17782794100389226,Type9
605359b5c4e37914bcf86a5d,40,0.5623413251903491,Type8
605359b9c4e37914bcf86a5e,30,0.3831186849557288,Type9
605359c6c4e37914bcf86a5f,29,0.3162277660168379,Type9
605359d2c4e37914bcf86a60,70,0.6812920690579614,Type10
605359e7c4e37914bcf86a61,70,0.6812920690579614,Type8
605359ecc4e37914bcf86a62,85,0.8254041852680184,Type10
